,smiles
265,CC(=O)N(C)C=1C=CC(=CN1)NC(=O)C(C)OC=2C=CC=NC2
266,CC(=O)N(C)C=1C=CC(=CN1)NC(=O)N2CCOCCC2C
267,CC(=O)N(C)C=1C=CC(=CN1)NC(=O)NC=2C=NN(C2)C3CCCC3
268,CC(=O)N(C)C=1C=CC=C(C1)NC(=O)C2(CCC2)C(=O)O
269,CC(=O)N(C)C=1C=CC=C(C1)NC(=O)C2CN(C2)C(=O)C3CCCCC3
270,CC(=O)N(C)C=1C=CC=CC1NC(=O)C=2C=CC=C3C=CC=NC23
271,CC(=O)N(C)CC1=CN(CC=2C=C(ON2)C3=CC=CO3)N=N1
272,CC(=O)N(C1=NC(=CS1)CN2CCC(CC2)N(C)C3=CC=CN=N3)C4CC4
273,CC(=O)N(C1=NN=C(SCCOC=2C=CC(Cl)=CC2)S1)C3CC3
274,CC(=O)N(C=1C=CC(=CC1)NC(=O)N2CCN(CC2)C=3N=CC=NC3C)C4CC4
275,CC(=O)N(CC(=O)O)C1CCCN(CC1)C(=O)C(C=2C=CC=CC2)N3C=CC=N3
276,CC(=O)N(CC1=CN(N=C1C=2C=CC=NC2)C=3C=CC=CC3)CC=4C=CC=CC4
277,CC(=O)N(CC1CCCN1CC2CCN(C2)C(=O)C=3C=CC=CC3)C4CC4
278,CC(=O)N(CC=1C=CC(=CC1)NC=2N=CN=C3C2N=CN3C)C4CC4
279,CC(=O)N(CC=1C=CSC1)C2CC32CCN(CC3)C(=O)C4=CC=C(C#N)N4
280,CC(=O)N1C=2C=CC=CC2C[C@H]1C(=O)N(C)CC=3C=COC3C
281,CC(=O)N1C=2C=CC=CC2C[C@H]1C(=O)N3CC(C)(C)C3C4=NC=CN4C
282,CC(=O)N1C=2C=CC=CC2C[C@H]1C(=O)NC=3C=CC=4OC(=O)C=CC4C3
283,CC(=O)N1C=2C=CC=CC2C[C@H]1C(=O)NCC=3C=CN=C(C3)N4CCOCC4
284,CC(=O)N1C=2C=CC=CC2C[C@H]1C3=NC(CC=4C=C(C)ON4)=NO3
285,CC(=O)N1C=CC2=CC=CC=C2C1CC(=O)NCC(C)C(=O)O
286,CC(=O)N1CC(C)(C)OC2(CN(C2)C3=NC=CN(C)C3=O)C1
287,CC(=O)N1CC(C1)NC(=O)C=2OC=3C=CC=CC3C2C
288,CC(=O)N1CC(C1)NC2=CC=CC(=C2)C3=NN=NN3C4CC4
289,CC(=O)N1CC(C1)OCC(=O)N2CCC(CC2)C3=CC=NN3C
290,CC(=O)N1CC(C1)OCC(=O)N2CCN(C=3C=CC=CC3)C(C)C2
